comment_id,issue_key,author,created,body,is_internal
CMT-00001,ITSM-2180,Ravi Menon,2026-07-20 09:10:00,Declaring major incident INC-9001; payroll portal backend down. Correlating inbound tickets.,true
CMT-00002,ITSM-2180,Noah Fischer,2026-07-20 09:25:00,Node pool failover in progress. See KB-130. Change approval raised for standby cutover.,true
CMT-00003,ITSM-2180,Kevin Aziz,2026-07-20 09:40:00,"Still cannot submit my timesheet, deadline is today.",false
CMT-00004,ITSM-2181,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00005,ITSM-2182,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00006,ITSM-2183,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00007,ITSM-2184,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00008,ITSM-2185,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00009,ITSM-2186,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00010,ITSM-2187,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00011,ITSM-2187,Requester,2026-07-20 09:45:00,Any update? This is blocking payroll.,false
CMT-00012,ITSM-2188,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00013,ITSM-2189,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00014,ITSM-2190,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00015,ITSM-2191,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00016,ITSM-2192,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00017,ITSM-2193,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00018,ITSM-2194,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00019,ITSM-2195,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
CMT-00020,ITSM-2196,System,2026-07-20 09:30:00,Auto-correlated to major incident INC-9001 (payroll portal outage).,true
