link_id,child_issue_key,parent_incident_key,relationship
LNK-0001,ITSM-2181,ITSM-2180,is caused by
LNK-0002,ITSM-2182,ITSM-2180,is caused by
LNK-0003,ITSM-2183,ITSM-2180,is caused by
LNK-0004,ITSM-2184,ITSM-2180,is caused by
LNK-0005,ITSM-2185,ITSM-2180,is caused by
LNK-0006,ITSM-2186,ITSM-2180,is caused by
LNK-0007,ITSM-2187,ITSM-2180,is caused by
LNK-0008,ITSM-2188,ITSM-2180,is caused by
LNK-0009,ITSM-2189,ITSM-2180,is caused by
LNK-0010,ITSM-2190,ITSM-2180,is caused by
LNK-0011,ITSM-2191,ITSM-2180,is caused by
LNK-0012,ITSM-2192,ITSM-2180,is caused by
LNK-0013,ITSM-2193,ITSM-2180,is caused by
LNK-0014,ITSM-2194,ITSM-2180,is caused by
LNK-0015,ITSM-2195,ITSM-2180,is caused by
LNK-0016,ITSM-2196,ITSM-2180,is caused by
LNK-0017,ITSM-2197,ITSM-2180,is caused by
LNK-0018,ITSM-2198,ITSM-2180,is caused by
LNK-0019,ITSM-2223,ITSM-2180,relates to
LNK-0020,ITSM-2224,ITSM-2180,relates to
LNK-0021,ITSM-2225,ITSM-2180,relates to
LNK-0022,ITSM-2226,ITSM-2180,relates to
LNK-0023,ITSM-2200,ITSM-2199,is caused by
LNK-0024,ITSM-2201,ITSM-2199,is caused by
LNK-0025,ITSM-2202,ITSM-2199,is caused by
LNK-0026,ITSM-2203,ITSM-2199,is caused by
LNK-0027,ITSM-2204,ITSM-2199,is caused by
LNK-0028,ITSM-2205,ITSM-2199,is caused by
LNK-0029,ITSM-2218,ITSM-2217,duplicates
LNK-0030,ITSM-2220,ITSM-2219,duplicates
LNK-0031,ITSM-2222,ITSM-2221,duplicates
