survey_id,issue_key,score,comment,submitted_at
CSAT-0001,ITSM-2012,,,
CSAT-0002,ITSM-2018,1,"Very poor, took far too long.",2026-07-14 16:00:00
CSAT-0003,ITSM-2022,3,"Okay, resolved eventually.",2026-07-17 14:00:00
CSAT-0004,ITSM-2024,5,"Excellent, fast and helpful.",2026-07-27 15:00:00
CSAT-0005,ITSM-2026,1,"Very poor, took far too long.",2026-07-16 10:00:00
CSAT-0006,ITSM-2028,,,
CSAT-0007,ITSM-2029,4,"Good, resolved quickly.",2026-07-10 09:00:00
CSAT-0008,ITSM-2035,5,,2026-07-13 14:00:00
CSAT-0009,ITSM-2039,5,"Excellent, fast and helpful.",2026-07-22 15:00:00
CSAT-0010,ITSM-2041,1,"Very poor, took far too long.",2026-07-16 09:00:00
CSAT-0011,ITSM-2043,5,"Excellent, fast and helpful.",2026-07-16 16:00:00
CSAT-0012,ITSM-2046,4,"Good, resolved quickly.",2026-07-08 14:00:00
CSAT-0013,ITSM-2048,5,"Excellent, fast and helpful.",2026-07-27 10:00:00
CSAT-0014,ITSM-2051,3,,2026-07-10 17:00:00
CSAT-0015,ITSM-2057,5,"Excellent, fast and helpful.",2026-07-07 11:00:00
CSAT-0016,ITSM-2062,2,Slow and frustrating.,2026-07-23 16:00:00
CSAT-0017,ITSM-2063,,,
CSAT-0018,ITSM-2066,2,Slow and frustrating.,2026-07-13 12:00:00
CSAT-0019,ITSM-2072,5,"Excellent, fast and helpful.",2026-07-08 10:00:00
CSAT-0020,ITSM-2074,5,,2026-07-16 15:00:00
CSAT-0021,ITSM-2076,3,,2026-07-21 10:00:00
CSAT-0022,ITSM-2077,5,"Excellent, fast and helpful.",2026-07-21 10:00:00
CSAT-0023,ITSM-2081,3,,2026-07-24 18:00:00
CSAT-0024,ITSM-2084,,,
CSAT-0025,ITSM-2086,5,"Excellent, fast and helpful.",2026-07-18 17:00:00
CSAT-0026,ITSM-2089,4,,2026-07-14 10:00:00
CSAT-0027,ITSM-2096,2,Slow and frustrating.,2026-07-24 12:00:00
CSAT-0028,ITSM-2102,2,Slow and frustrating.,2026-07-16 15:00:00
CSAT-0029,ITSM-2103,1,,2026-07-23 12:00:00
CSAT-0030,ITSM-2104,5,"Excellent, fast and helpful.",2026-07-17 11:00:00
CSAT-0031,ITSM-2109,4,,2026-07-18 09:00:00
CSAT-0032,ITSM-2111,4,,2026-07-15 12:00:00
CSAT-0033,ITSM-2120,4,"Good, resolved quickly.",2026-07-10 09:00:00
CSAT-0034,ITSM-2130,3,"Okay, resolved eventually.",2026-07-09 13:00:00
CSAT-0035,ITSM-2133,5,"Excellent, fast and helpful.",2026-07-12 16:00:00
CSAT-0036,ITSM-2140,5,,2026-07-16 11:00:00
